CD,Misc,PMID,label,title,abstract
CD011134,0,23132294,0,KiSS-1 methylation and protein expression patterns contribute to diagnostic and prognostic assessments in tissue specimens for colorectal cancer.,"KISS1 is a metastasis suppressor lost in several solid malignancies. We evaluated the clinical relevance of KiSS-1 methylation and its protein expression in colorectal cancer. The epigenetic silencing of KiSS-1 by hypermethylation was tested in colon cancer cells (n = 5) before and after azacytidine treatment. KiSS-1 methylation was evaluated by methylation-specific PCR in colorectal cancer cells, and normal, benign, and tumor tissues (n = 352) were grouped in a training set (n = 62) and two independent validation cohorts (n = 100 and n = 190). KiSS-1 protein expression was analyzed by immunohistochemistry on tissue arrays. KiSS-1 hypermethylation correlated with transcript and protein expression loss, being increased in vitro by azacytidine. Methylation rates were 53.1, 70.0, and 80.0 % in the training and validation sets, respectively. In the training set, KiSS-1 methylation rendered a diagnostic accuracy of 72.7 % (p = 0.002). Combination of KiSS-1 methylation and serum CEA (p = 0.001) increased the prognostic utility of CEA alone (p = 0.022). In the first validation set, KiSS-1 methylation correlated with tumor grade (p = 0.011), predicted recurrence (p = 0.009), metastasis (p = 0.004), disease-free (p = 0.034), and overall survival (p = 0.015). In the second validation cohort, KiSS-1 methylation predicted disease-specific survival (p = 0.030). In the training set, cytoplasmic KiSS-1 expression was significantly higher in nonneoplastic biopsies as compared to colorectal tumors (p < 0.0005). In the validation set, loss of cytoplasmic expression correlated with tumor stage (p = 0.007), grade (p = 0.035), recurrence (p = 0.017), and disease-specific survival (p = 0.022). KiSS-1 was revealed epigenetically modified in colorectal cancer. The diagnostic and prognostic utility of KiSS-1 methylation and expression patterns suggests their assessment for the clinical management of colorectal cancer patients."
CD011134,0,21901559,0,Peripheral blood guanylyl cyclase c (GCC) expressions are associated with prognostic parameters and response to therapy in colorectal cancer patients.,"Guanylyl cyclase C (GCC) is expressed exclusively in normal intestinal mucosal cells, primary and metastatic colorectal cancers (CRC). The aim of this study was to determine the possible association between the GCC expressions in peripheral blood, prognostic parameters and response to chemotherapy in CRC patients. Fourty-nine metastatic CRC patients and 41 healthy controls with similar age and sex were included to this study. Peripheral blood GCC expressions are measured by the reverse transcriptase-polymerase chain reaction (RT-PCR) method. Interstingly, no GCC expression was measured in healthy controls but GCC expressions of the patients were detectable. Although there was a significant reduction in GCC expressions in 30 patients with regression (from 5.46 ± 4.12 to 0.06 ± 0.03, p < 0.0001), marked increase in GCC expressions was observed in 19 patients with progression following chemotherapy (from 0.43 ± 0.19 to 1.38 ± 0.52, p = 0.0174). Significant correlation was found between the GCC expressions and carbohydrate antigen 19-9 (CA19-9) levels (p = 0.0041) in 30 patients with regression before chemotherapy. Marked correlation was also detected between the GCC expressions and carcinoembryonic antigen (CEA) levels (p = 0.0072) in 19 patients with progression before chemotherapy. The results of the present study suggest that peripheral blood GCC expressions along with CEA and CA19-9 can be used to determine the early respose to chemotherapy in patients with metastatic CRC. These findings imply that higher expression of GCC in peripheral blood seems to be an indicator of good therapeutic response to chemotherapy and remission. Monitoring the peripheral blood GCC expressions may allow employing different treatment options to metastatic CRC patients."
CD011134,0,17992052,0,"Clinical relevance of the expression of mRNA of MMP-7, MMP-9, TIMP-1, TIMP-2 and CEA tissue samples from colorectal liver metastases.","Nowadays we know that survival rates do not differ between repeated and single liver resections for colorectal liver metastases (CLM). To be able to determine patients prone to early recurrence, the use of different markers with a better prognostic value than the routinely employed tumor markers is required."
CD011134,0,16864976,0,Nucleosomes in colorectal cancer patients during radiochemotherapy.,"Apoptotic markers and tumor-associated antigens might be suitable to indicate the response to radiochemotherapy early. We analyzed the courses of nucleosomes, CEA, CA 19-9 and CYFRA 21-1 in 25 colorectal cancer patients during radiochemotherapy (4 postoperative, 13 preoperative, 8 local relapse therapy). Blood was taken before therapy, daily during the first week, once weekly during the following weeks, and at the end of the radiochemotherapy. After a temporary decline 6 h after the first irradiation, nucleosomes rose in most patients rapidly reaching a maximum during the first days which was followed by a subsequent decrease. In patients receiving postoperative therapy after complete resection of tumor, nucleosome levels generally were lower than in patients with preoperative or relapse therapy. Correspondingly, CEA, CA 19-9 and CYFRA 21-1 levels of postoperatively treated patients were the lowest whereas those with tumor relapse had the highest ones. During preoperative therapy, lower nucleosome concentrations were found in patients with response to therapy resulting in a smaller area under the curve of days 1-3 (AUC) than in those with progressive disease (p = 0.028). The other parameters did not indicate the response to therapy at the initial treatment phase. In conclusion, the course of nucleosomes (AUC) might be valuable for the early prediction of therapy response in preoperatively treated colorectal cancer patients."
CD011134,0,15627885,1,"CEA, CA 242, CA 19-9, CA 72-4 and hCGbeta in the diagnosis of recurrent colorectal cancer.","The purpose of this study was to compare the utility of serum CEA, CA 19-9, CA 242, CA 72-4 and human chorionic gonadotropin (hCG)beta in the follow-up of 102 surgically treated colorectal cancer patients, out of which 40 patients developed clinical recurrence."
CD011134,0,8146525,1,Use of CA 19-9 in the early detection of recurrences in colorectal cancer: comparison with CEA.,The serum levels of CA 19-9 were determined in the follow-up of 370 patients with colorectal cancer and compared with CEA. An increase in CA 19-9 preceded clinical diagnosis of recurrence in 25% of 72 patients. The mean time between the rise in CA 19-9 and clinical diagnosis of relapse was 3.7 months (median 3). Sensitivity of CA 19-9 in the early diagnosis of recurrence was much lower than that obtained for CEA (75%). Only 1 patient had elevated CA 19-9 levels and normal CEA.
CD011134,0,7863220,0,Carcinoembryonic antigen in staging and follow-up of patients with solid tumors.,"The presence of a tumor antigen in human colonic carcinomas and their metastases was described about 25 years ago. This antigen, called carcinoembryonic antigen (CEA), is one of the first known tumor markers. Since then, many more have been described, but CEA, determined alone or in combination with others, is still one of the most used. CEA is not organ specific and abnormal values may be found in a wide range of carcinomas, especially those with gastrointestinal involvement. CEA assay should not be used for cancer diagnosis because its sensitivity in patients without cancer metastases is low. In addition, abnormal CEA values may be found in patients with benign diseases. However, the probability of malignancy increases directly with CEA concentration. Its main clinical applications are prognosis, early diagnosis of recurrence and follow-up of patients with carcinomas. In a wide range of malignancies, CEA serum levels are clearly related to tumor stage. Presurgical CEA serum levels are a well-established prognostic factor in colorectal, breast and lung cancer. Patients presenting with increased preoperative CEA serum levels have both a shorter disease-free interval and lower survival than those with normal CEA levels. In the early diagnosis of recurrence, CEA also plays an important role: in about 70-85% of patients with colorectal tumors and in 40-50% with breast cancer, CEA serial increase is the first sign of tumor recurrence. In patients with disseminated tumors, serial determinations are also a useful tool for therapy monitoring: CEA values decrease with effective treatment while stable or increasing values are observed when treatment is not effective."
CD011134,0,2437641,0,"Clinical usefulness of three monoclonal antibody-defined tumor markers: CA 19-9, CA 50, and CA 125.","This article reviews the clinical usefulness of three monoclonal antibody-defined tumor markers: CA 19-9 or GICA, CA 50, and CA 125. These markers have been regarded as worthwhile tools for diagnosis and monitoring the management of patients with cancers in selected sites. The CA 19-9 test in combination with the CEA test is a useful adjunct for staging in some advanced cases and for monitoring therapy in the majority of patients with carcinoma of the stomach. Sensitivity of these assays performed concurrently is comparable to CEA alone in colorectal carcinoma. The CA 19-9 test alone is useful for staging and monitoring management of patients with carcinoma of the pancreas. In colorectal carcinoma the CA 19-9 test is redundant because of significantly lower sensitivity than that of the CEA assay; the latter remains the test of choice. The CA 50 test per se is redundant since the CA 19-9 antigen is the target for both the C50 MAb and the NS 19-9 MAb. The CA 125 test contributes to staging and is a useful adjunct for monitoring management of patients with non-mucinous carcinomas of the ovary. If positive after initial surgery and chemotherapy, this test provides evidence of the presence of residual or metastatic tumor and thus may obviate the need for second-look surgery. These conclusions are based on a review of recent relevant publications as well as on our own results obtained from preoperative evaluation and postoperative follow-up of about 600 patients with cancers in relevant sites."
CD011134,0,24451945,0,Role of paxillin in colorectal carcinoma and its relationship to clinicopathological features.,"Colorectal carcinoma is one of the most common malignant tumors. Despite advances in therapy, mortality is still very high. The aim of this study was to evaluate the expression of paxillin in the human colon adenocarcinoma cell line SW480 and its role in cell cycle and apoptosis. We also investigated the expression of paxillin in colorectal carcinoma tissues and its relationship to clinicopathological features and survival."
CD011134,0,24430319,1,Effect of 3 to 5 years of scheduled CEA and CT follow-up to detect recurrence of colorectal cancer: the FACS randomized clinical trial.,Intensive follow-up after surgery for colorectal cancer is common practice but is based on limited evidence.
