CD,Misc,PMID,label,title,abstract
CD012009,0,2440066,0,[Secretion of pancreatic juice collected by a spontaneous post- operative fistula after the Reichel-Polya operation and considerations on the pancreatic stimulator mechanism].,Abstract not available
CD012009,0,6200273,0,Chronic massive pancreatic pleural effusion.,"Chronic massive pancreatic pleural effusion is an uncommon and often unrecognized clinical syndrome which results from an internal pancreatic fistula and usually presents as an exudative effusion of unknown cause. The effusion frequently occurs without clinical evidence of pancreatitis, but occasionally it may be associated with a pseudocyst of the pancreas. Chronic massive pancreatic pleural effusion is usually recurrent and characterized by very high levels of amylase in the pleural fluid. Morbidity and mortality are reduced when a definite diagnosis is established and appropriate therapy rendered. In this report, three cases of chronic massive pancreatic pleural effusions are presented. Two of the three had no demonstrable pancreatic disease, and the condition responded to conservative therapy. The third patient had a pancreatic pseudocyst and an internal pancreatic fistula which was corrected only after multiple surgical procedures."
CD012009,0,26019457,1,Risk scoring system and predictor for clinically relevant pancreatic fistula after pancreaticoduodenectomy.,To establish a scoring system to predict clinically relevant postoperative pancreatic fistula (CR-POPF) after pancreaticoduodenectomy (PD).
CD012009,0,18641774,0,"[Acute pancreatitis in intensive care unit: review and evolution of 36 cases Víctor Lazarte E. Hospital. Trujillo, Perú].","Acute pancreatitis is a local inflammatory process that could be generalized by producing mild to severe gastroenteral manifestations, like multiple organ dysfunction and death."
CD012009,0,8814357,0,Thermostability of purified human pancreatic alpha-amylase is increased by the combination of Ca2+ and human serum albumin.,"Pancreatic fluid from a patient with a post operative pancreatic fistula was used to isolate human alpha-amylase by means of acarbose affinity chromatography. Amylase thermostability was measured in 4 solutions: (1) EDTA-dialyzed; (2) dialyzed solution plus 0.15 mmol/l (1.0 g/dl) human serum albumin; (3) dialyzed solution plus 0.25 mmol/l (1.0 mg/dl) calcium ions; and (4) dialyzed solution with both human serum albumin and calcium ions. Amylase activity was measured at predetermined times in samples heated to 60 degrees C. Thermostability was characterized by t1/2, the time to 50% initial amylase enzyme activity. In the dialyzed solution t1/2 was 0.75 +/- 0.19 min. This rose to 1.62 +/- 0.34 min with added human serum albumin, and to 8.24 +/- 0.13 min with added calcium ions. The combination of human serum albumin and calcium ions resulted in a synergistic increase of t1/2 to 180 +/- 26 min. These findings support our contention that human serum albumin, calcium ions and possibly other body fluid constituents must be considered in any utility involving amylase thermostability as a clinically relevant diagnostic marker."
CD012009,0,8211703,0,Effect of failed computed tomography-guided and endoscopic drainage on pancreatic pseudocyst management.,Computed tomography and endoscopic drainage are used increasingly to treat pancreatic pseudocysts (PP). We reviewed our experience with PP to compare the outcomes of patients operated on initially (group 1) with those whose nonoperative treatment failed (computed tomography-guided or endoscopic drainage) before operation (group 2).
CD012009,0,7093845,0,Pancreatic abscess.,"Pancreatic abscess, although an uncommon complication of pancreatitis, is a serious cause of morbidity and death. During the 5-year period beginning in March 1976, 19 patients with pancreatic abscess were seen at the Ottawa Civic Hospital. Abdominal pain, mass, fever and leukocytosis were common; the serum amylase value was usually normal. twelve patients underwent external drainage; in 6 the abscess was drained internally through the posterior wall of the stomach. The overall mortality was 16%. Morbidity was high; 7 (37%) of the 19 patients required reoperation for recurrent sepsis. Differentiation of pancreatic abscess from phlegmonous pancreatitis or pseudocyst can be difficult. Ultrasonography may be useful but computerized axial tomography is the the diagnostic method of choice. Prompt débridement and external drainage are the mainstays of surgical treatment but internal drainage may be appropriate in selected patients."
CD012009,0,24520783,0,[Effect of Qingyi Chengqi Decoction on severe acute pancreatitis patients: a clinical study].,"To observe the change of intra-abdominal pressure (IAP) in severe acute pancreatitis (SAP) patients, and to study the effect of Qingyi Chengqi Decoction (QCD) on it."
CD012009,0,8479170,0,Increased circulating cholecystokinin in obstruction-induced acute pancreatitis. II. Pancreatic duct obstruction with and without bile duct obstruction.,"Pancreatic exocrine stimulation by cholecystokinin (CCK) has been implicated in the pathogenesis of experimental acute pancreatitis. Bile exclusion from the gut stimulates duodenal CCK release and exacerbates obstruction-induced acute pancreatitis. Pancreatic and bile duct obstruction increases circulating CCK concentration. We hypothesized that acute pancreatitis induced by pancreatic and bile duct obstruction would be ameliorated when bile was returned to the duodenum. As many small pancreatic ducts drain into the bile duct in rats, preservation of bile flow required the use of a bile shunt. We studied acute pancreatitis and the time course of circulating CCK increase in three groups of rats after: (1) sham operation (dissection, no obstruction), (2) bile and pancreatic duct obstruction, and (3) bile and pancreatic duct obstruction with bile shunt. The rats were killed at 3-, 6-, and 18-hr intervals after operation. Their blood was collected for measurement of CCK, amylase, and bilirubin concentrations. The pancreata were excised, weighed, and processed for histological examination. The shunting of bile back to the duodenum ameliorated the acute pancreatitis along with a simultaneous limitation of the rise in CCK concentration. This suggests that bile duct obstruction, another form of bile exclusion, exacerbates pancreatic duct obstruction-induced acute pancreatitis. The elevation in CCK concentration showed an early peak indicating that the potential role of CCK in the pathogenesis of obstruction-induced acute pancreatitis is predominantly in the early phase of its development."
CD012009,0,2240868,0,The role of endoscopic retrograde pancreatography (ERP) in blunt abdominal trauma.,"The diagnosis of pancreatic injury is often difficult because it lies retroperitoneally in a protected area. Delayed diagnosis and treatment of blunt pancreatic trauma can result in significant morbidity and mortality. Endoscopic Retrograde Pancreatography (ERP) is infrequently used in the diagnosis of pancreatic injury. We reviewed our experience with the use of ERP in patients with blunt pancreatic injury. Two stable patients with traumatic pancreatitis underwent ERP shortly after injury. CT scans revealed a transverse fracture of the distal pancrease in one and fluid accumulation in the other around the pancreas extending to the right kidney and left hepatic lobe. The absence of ductal disruption on ERP allowed nonoperative management of the pancreatitis. Resolution was documented by the absence of symptoms on regular oral intake, normal serum amylase levels, and normal follow-up CT scans. A third patient with persistent fistulae three months postinjury underwent preoperative ERP revealing ductal obstruction. This facilitated the planning of a distal pancreatectomy and subsequently the fistulae healed. A fourth patient underwent an exploratory laparotomy on the basis of clinical and CT scan findings that could have been circumvented with preoperative ERP. ERP in selected patients allows nonoperative treatment in the absence of ductal injury or earlier operative treatment of ductal injury. It also aids the treatment of late complications by delineating ductal anatomy."
