CD,Misc,PMID,label,title,abstract
CD008122,0,15361993,1,Evaluation of the rapid diagnostic test OptiMAL for diagnosis of malaria due to Plasmodium vivax.,To determine the sensitivity and specificity of the rapid diagnostic test OptiMAL for diagnosis of Plasmodium vivax malaria.
CD008122,0,3898482,0,Imported malaria in Kuwait.,"The number of imported malaria cases in Kuwait rose from 87 in 1980 to 504 in 1983, an increase of 579%. The continued resurgence of malaria in endemic zones, improved diagnostic techniques and a heightened awareness of imported malaria have contributed to the increase in the number of microscopically proved cases. Thick blood films fixed in acetone and stained in Giemsa proved a rapid method of diagnosis; species identification on the basis of a thin film on the same slide was performed with ease. Malaria was acquired in 38 countries. Most patients were young male adults. Most of the cases were due to Plasmodium vivax originating from India, although an increasing number of P. falciparum cases are also now being diagnosed from there. P. falciparum infections were evenly distributed throughout the year and most cases presented within 14 days of their arrival in the country. The highest number of P. vivax cases were diagnosed between May and October, when heat stress might have been a factor in precipitating a clinical attack of an infection previously acquired in the endemic zone. Attention is drawn to the importance of delayed attacks of P. vivax and, in semi-immunes, of P. falciparum. The time interval involved in establishing a history of ""recent"" travel in clinically suspected cases of malaria needs to be more clearly defined in each geographical area. Cases of induced malaria due to transfusion, accidental and congenital infections were identified. The fatality rate due to P. falciparum infections was low. In terms of the risk of renewed transmission, Kuwait may be considered a vulnerable area."
CD008122,0,16501762,0,"[Coinfection between hepatitis B virus and malaria: clinical, serologic and immunologic aspects].","The Amazon region is known for a high prevalence of hepatitis B infection, and accounts for more than 90% of malaria cases in Brazil. It has been suggested that the occurrence of coinfections may be important, and may influence the natural history of both diseases. This study evaluated 545 patients with acute malaria, in Coari, Western Brazilian Amazon. 333 (61.1%) presented Plasmodium vivax malaria, 193 (35.4%) Plasmodium falciparum and 19 (3.5%) mixed infections. The HBsAg prevalence was 4.2% and total anti-HBc 49.7%. Patients with HBV serological markers presented no clinical differences than those with malaria only, nor showed any association with classic signs of hepatic disorder. Although showing no statistical significance, HBsAg reactive subjects presented lower parasitic load and higher antibody titers, suggesting the possibility that the immune response in a coinfected individual is differentiated and leads to a variation in the parasite load and antibody production."
CD008122,0,17547098,0,"Malaria specific mortality in lowlands and highlands of Muheza district, north-eastern Tanzania.","Vital registration of causes of death in Tanzania is incomplete and many deaths occur outside health care settings. Verbal autopsies (VA) are used to determine the underlying cause of death, and the probable diagnosis helps to estimate reasonably cause-specific mortality. In this paper, we report findings of a verbal autopsy survey which involved eight villages in both low and highlands of Muheza district, north-eastern Tanzania. The survey was conducted following a rapid census, which was done to identify households that had lost one or more members within a period of two years from the date of census. Trained research assistants administered VA questionnaires to parents/close relatives. Two physicians reviewed each report independently and a third opinion was sought where there was discordant report between the two. A total of 9,872 households were surveyed and 134 deaths were recorded. A total of 96 (71.6%) deaths were from lowland villages representing high malaria transmission. Majority (72.4%) of the reported deaths occurred at home whilst 32.1% occurred at heath facility settings. Overall, severe malaria was the leading cause accounting for 34.3% of all deaths. Infants were most affected and accounted for 43.5% of the total deaths. Pulmonary tuberculosis ranked second (8.2%) cause of deaths and was exclusively confined to individuals > or = 15 years. Probable cause of death could not be determined in 13.4% of deaths. In conclusion, majority of deaths in rural north-eastern Tanzania occur at home and the immediate causes are usually unknown or not documented. These findings indicate that the verbal autopsy is a useful tool for detecting leading causes of death at community level in the absence of health facility-based data."
CD008122,0,8560527,0,The effect of plasma free fatty acids and long-chain triglycerides on glucose metabolism in uncomplicated falciparum malaria.,"To investigate the therapeutic potential of increased plasma free fatty acid (FFA) and triglyceride concentrations in hypoglycaemic patients receiving quinine, 32 untreated Thai adults with uncomplicated falciparum malaria were allocated at random to one of 4 regimens: 2 mg/kg/min dextrose infused over 60 min either alone (group A) or with a prior injection of 5000 units of heparin and simultaneous Intralipid infusion (group C), or 4 min/kg/min dextrose alone (group B) or with heparin and Intralipid (group D). Quinine (10 mg/kg) was also infused over 60 min in all cases. In patients of groups A and C, mean changes in plasma glucose concentrations from the beginning to the end of the infusion were 0.1 (SD 0.8) and 1.0 (SD 0.7) mmol/L respectively (P = 0.015). In groups B and D, plasma glucose increased by 1.8 (SD 1.2) and 2.2 (SD 0.4) mmol/L respectively (P < 0.5). Plasma FFA levels fell by approximately 50% during the infusion in groups A and B but increased by a similar percentage in groups C and D. Despite significant mean increases in plasma insulin during the infusion (from 12.2 milliunits (mu)/L in group A to 38.8 mu/L in group D), no rebound hypoglycaemia was observed in any patient during the ensuing 7 h. These data suggest that the glycaemic response to dextrose given at high rates, which match average glucose utilization in a severely ill patient with malaria, is not augmented by increased plasma FFA and long-chain triglycerides. However, this strategy increases the glycaemic efficacy of lower dextrose infusion rates and the combination could, therefore, reduce the volumes of hypertonic dextrose required to prevent hypoglycaemia in severely ill patients in whom optimal fluid balance is crucial."
CD008122,0,3289786,0,[Detection of antibodies to vivax-malaria by ELISA using in vitro cultured erythrocytic Plasmodium cynomolgi as antigen].,Abstract not available
CD008122,0,16843832,0,Microwave-assisted tissue processing for same-day EM-diagnosis of potential bioterrorism and clinical samples.,"The purpose of this study was to explore the turnaround times, section and image quality of a number of more ""difficult"" specimens destined for rapid diagnostic electron microscopy (EM) after microwave-assisted processing. The results were assessed and compared with those of conventionally processed samples. A variety of infectious agents, some with a potential for bioterrorism, and liver biopsies serving as an example for routine histopathology samples were studied. The samples represented virus-producing cell cultures (such as SARS-coronavirus, West Nile virus, Orthopox virus), bacteria suspensions (cultures of Escherichia coli and genetically knockout apathogenic Bacillus anthracis), suspensions of parasites (malaria Plasmodium falciparum, Leishmania major, Microsporidia cuniculi, Caenorhabditis elegans), and whole Drosophila melanogaster flies infected with microsporidia. Fresh liver samples and infected flies were fixed in Karnovsky-fixative by microwaving (20 min), all other samples were fixed in buffered glutaraldehyde or Karnovsky-fixative overnight or longer. Subsequently, all samples were divided to evaluate alternative processing protocols: one part of the sample was OsO4-postfixed, ethanol-dehydrated, Epon-infiltrated (overnight) in an automated tissue processor (LYNX, Leica), and polymerized at 60 degrees C for 48 h; in parallel the other part was microwave-assisted processed in the bench microwave device (REM, Milestone), including post-osmication and the resin block polymerization. The microwave-assisted processing protocol required at minimum 3 h 20 min: the respective epon resin blocks were uniformly polymerized allowing an easy sectioning of semi- and ultrathin sections. Sections collected on non-coated 200 mesh grids were stable in the electron beam and showed an excellent preservation of the ultrastructure and high contrast, thus allowing an easy, unequivocal and rapid assessment of specimens. Compared with conventional routine methods, microwave technology facilitates a significant reduction in sample processing time from days to hours without any loss in ultrastructural details. Microwave-assisted processing could, therefore, be a substantial benefit for the routine electron microscopic diagnostic workload. Due to its speed and robust performance it could be applied wherever a rapid electron microscopy diagnosis is required, e.g., if bioterrorism or emerging agents are suspected. Combining microwave technology with digital image acquisition, the 1-day diagnosis based on ultrathin section electron microscopy will become possible, with crucial or interesting findings being consulted or shared worldwide with experts using modern telemicroscopy tools via Internet."
CD008122,0,10774675,0,Evaluation of direct agglutination test (DAT) as an immunodiagnostic tool for diagnosis of visceral leishmaniasis in Nepal.,"Before field application of the direct agglutination test (DAT) for leishmaniasis, it was assessed as a diagnostic tool. Fifteen confirmed visceral leishmaniasis cases (bone marrow aspiration positive), 120 tuberculosis, 58 leprosy, 15 malaria, 26 intestinal parasitic infection cases, 24 endemic healthy controls from adjacent to the study area, and 18 controls from Kathmandu (who had never visited the VL endemic areas) were tested for anti-leishmanial antibody agglutination titers. Two of the tuberculosis cases were positive for anti-leishmanial agglutinating antibodies at 1:800. All the visceral leishmaniasis confirmed cases were reactive to anti-leishmanial antibody at > or = 1:3,200. Other specimens were negative for serology. The sensitivity of the direct agglutination test was 100% and the specificity was 99.2%. The direct agglutination test had positive and negative predictive values of 100% and 99.2% respectively. The direct agglutination test has been found to be simple, rapid, reliable, economic, safe and adaptable to micro-techniques using microtiter plates. It is specific and sensitive. The direct agglutination test is simple enough for it to be performed in a field laboratory."
CD008122,0,19187517,1,"Performance of OptiMAL-IT compared to microscopy, for malaria detection in Burkina Faso.","To compare the performance of OptiMAL-IT, a rapid diagnostic test for malaria, with that of microscopy in Burkina Faso."
CD008122,0,9347649,0,Levels of serum tumor necrosis factor alpha in relation to clinical involvement and treatment among Thai adults with Plasmodium falciparum malaria.,"Concentrations of tumor necrosis factor alpha (TNF-alpha) in serum were measured in 17 Thai men infected with Plasmodium falciparum malarial infections to determine whether they were affected by severity of infections or exchange transfusions. Twelve patients were considered having complicated malarial infections, eight of whom had cerebral malaria. Five patients had uncomplicated malarial infections. The results showed that malarial infection markedly raised TNF-alpha level above normal values (mean +/- SEM 406 +/- 38 vs 15 +/- 5, p = 0.004). In complicated malaria, cerebral involvement appeared to significantly increase concentration of TNF-alpha when compared to values in uncomplicated malaria (mean +/- SEM 496 +/- 64 vs 339 +/- 12, p = 0.01). Degree of parasitemia, intravenous quinine (day 0 value vs day 7 value) and exchange transfusion did not significantly affect TNF-alpha levels."
